order	playlist_index	video_id	source_slug	imported	diarization	duration	title
1	145	Gp9Hv1PXx0o	predictive-history-gp9hv1pxx0o	no	yes	5:00	Jiang Xueqin Teaching Gay Talese Research Method (Introduction)
2	144	xEEpOxqdU5E	predictive-history-xeepoxqdu5e	no	yes	44:50	Geo-Strategy #1:  Iran's Strategy Matrix
3	143	lkKrZq4YdqY	predictive-history-lkkrzq4ydqy	no	yes	44:54	Geo-Strategy#2:  Christian Zionism and the Middle East Conflict
4	141	LctUcVqhhns	predictive-history-lctucvqhhns	no	yes	36:20	Geo-Strategy #4:   Saudi Arabia's Trump Card Against Iran
5	140	exRK-85630k	predictive-history-exrk-85630k	no	yes	41:32	Geo-Strategy #5:  Why Trump Will Win (And Pick Nikki Haley as VP)
6	139	JieFC4Yww4o	predictive-history-jiefc4yww4o	no	yes	56:11	Geo-Strategy #6:  America's Imperial Hubris
7	138	LsRGvKxfLts	predictive-history-lsrgvkxflts	no	yes	49:32	Geo-Strategy #7:  Who Killed Iranian President Ebrahim Raisi?
8	137	7y_hbz6loEo	predictive-history-7y-hbz6loeo	no	yes	1:05:21	Geo-Strategy #8:  The Iran Trap
9	136	AEPSUC-UQ5k	predictive-history-aepsuc-uq5k	no	yes	1:05:34	Geo-Strategy #9:  Putin's War for the Soul of Russia
10	135	B_al2wgk49Y	predictive-history-b-al2wgk49y	no	yes	1:05:51	Geo-Strategy #10:  Putin's Strategic Imagination
11	134	Go1bMQKnJBQ	predictive-history-go1bmqknjbq	no	yes	1:08:03	Geo-Strategy #11:  The Second American Civil War
12	133	s_k6esWheqA	predictive-history-s-k6eswheqa	no	yes	1:11:31	Geo-Strategy END:  Psychohistory (The Science of Imagining the Future)
13	132	Jjqf9T59uY0	predictive-history-jjqf9t59uy0	no	yes	52:30	Civilization #1:  Explaining Humanity's Transition to Agriculture
14	131	x1E5rRmCiT4	predictive-history-x1e5rrmcit4	no	yes	56:43	Civilization #2:  Religion and the Dawn of Society
15	130	VanPH0GFTsA	predictive-history-vanph0gftsa	no	yes	56:53	Civilization #3:  The Religious Imagination
16	129	RaT_ZUDjHrM	predictive-history-rat-zudjhrm	no	yes	59:19	Civilization #4:  The Paradise Lost of Marija Gimbutas
