order	source_class	channel_path	playlist_index	video_id	source_slug	imported	diarization	duration	title
1	interview	Interviews/UCGq-a57w-aPwyi3pW7XLiHw		BTJGr78-zyw	interview-btjgr78-zyw	yes	yes		Professor Jiang: World War 3 Has Already Begun, Let Me Explain!
2	interview	Interviews/UCatt7TBjfBkiJWx8khav_Gg		dbVdnL6HWOg	interview-dbvdnl6hwog	yes	yes		"Heading For A Global DEPRESSION!" Professor Jiang Debates Iran War, Trump And China Ties
3	interview	Interviews/UCaHcyeCeN0GXHvLFgDWSOxg		37Qm5feukW8	interview-37qm5feukw8	yes	yes		🔴 Prof Jiang & Alex Krainer - The Elites Exit Plan REVEALED
4	interview	Interviews/UCoJhK5kMc4LjBKdiYrDtzlA		NidlGa9C0H8	interview-nidlga9c0h8	yes	yes		Prof. Jiang: Iran Has Trump TRAPPED! Full Interview | Redacted w Clayton Morris
5	interview	Interviews/UC3M7l8ved_rYQ45AVzS0RGA		61z1rB3UvPc	interview-61z1rb3uvpc	yes	yes		The Final Days Of The U.S. Empire! – Full Interview w/ Professor Jiang
6	interview	Interviews/UCPibkYslKyJFp30ocgPryCA		8ckOxpy6ENc	interview-8ckoxpy6enc	yes	yes		Is the Iran War ACTUALLY Over? w/ Professor Jiang: LIVE 6 pm PST
7	interview	Interviews/UCatt7TBjfBkiJWx8khav_Gg		0ehvW2FO5-8	interview-0ehvw2fo5-8	yes	yes		“It's An Act Of WAR!” Professor Jiang vs Gordon Chang On China, Iran & Trump | Plus Robert Pape
8	interview	Interviews/UCaHcyeCeN0GXHvLFgDWSOxg		T8jFDX3gfcw	interview-t8jfdx3gfcw	yes	yes		🔴 Jiang Xueqin Warns: The End of The World Has Begun (Here's Why)
9	interview	Interviews/UCy5tR9C0xM6tp7ha1Usq9Ag		mgazlaA5oZA	interview-mgazlaa5oza	yes	yes		SNEAKO X Professor Jiang X Dave Smith | Unity Amidst Chaos - Full Panel Discussion
10	interview	Interviews/UCFRCiFkWWJN2rO6dsKU9-1A		RIL8PsSNTZg	interview-ril8pssntzg	yes	yes		"They Created Bitcoin!" Professor Jiang Exposes Why Every Technology Needs A "Front Man"│Jack Neel
11	interview	Interviews/UCy5tR9C0xM6tp7ha1Usq9Ag		n44OF1Y7zgo	interview-n44of1y7zgo	yes	yes		SNEAKO X Professor Jiang X Aleksandr Dugin | Full Interview
12	interview	Interviews/UCZFCDIHTe9HGxtIuVDpBz7g		P_DHMUdOVdo	interview-p-dhmudovdo	yes	yes		Jiang Xueqin: The Iran War & the Battle for the Petrodollar
